Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,Brand
44,34,27,0.0,6.56,0,0,0,0,1,0,3
44,34,27,0.0,5.06,0,0,0,0,0,0,4
45,34,31,1.0,5.39,0,0,1,0,0,1,1
45,34,31,0.0,5.03,0,0,0,1,0,0,2
45,34,31,0.0,6.56,0,0,0,0,1,0,3
45,34,31,0.0,6.63,0,0,0,0,0,0,4
46,34,33,1.0,5.39,0,0,1,0,0,1,1
46,34,33,0.0,5.03,0,0,0,1,0,0,2
46,34,33,0.0,6.56,0,0,0,0,1,0,3
46,34,33,0.0,6.63,0,0,0,0,0,0,4
47,34,42,1.0,6.56,0,0,1,0,0,1,1
47,34,42,0.0,4.22,0,1,0,1,0,0,2
47,34,42,0.0,4.75,0,0,0,0,1,0,3
47,34,42,0.0,3.88,0,0,0,0,0,0,4
48,42,2,0.0,4.73,0,1,1,0,0,1,1
48,42,2,0.27,5.27,0,0,0,1,0,0,2
48,42,2,0.0,5.11,0,0,0,0,1,0,3
48,42,2,0.73,5.02,0,0,0,0,0,0,4
49,42,2,0.0,4.73,0,1,1,0,0,0,1
49,42,2,0.27,5.27,0,0,0,1,0,0,2
49,42,2,0.0,5.11,0,0,0,0,1,0,3
49,42,2,0.73,5.02,0,0,0,0,0,1,4
50,42,3,0.0,5.39,0,1,1,0,0,0,1
50,42,3,0.27,5.27,0,0,0,1,0,0,2
50,42,3,0.0,5.39,0,0,0,0,1,0,3
50,42,3,0.73,5.02,0,0,0,0,0,1,4
51,42,6,0.0,5.39,0,1,1,0,0,0,1
51,42,6,0.27,5.27,0,0,0,1,0,0,2
51,42,6,0.0,5.39,0,0,0,0,1,0,3
51,42,6,0.73,5.02,0,1,0,0,0,1,4
52,42,8,0.0,5.28,0,0,1,0,0,1,1
52,42,8,0.27,4.36,0,1,0,1,0,0,2
52,42,8,0.0,5.28,0,0,0,0,1,0,3
52,42,8,0.73,4.89,0,0,0,0,0,0,4
53,42,10,0.0,5.39,0,1,1,0,0,0,1
53,42,10,0.27,5.03,0,0,0,1,0,0,2
53,42,10,0.0,5.39,0,0,0,0,1,0,3
53,42,10,0.73,5.02,0,1,0,0,0,1,4
54,42,11,0.0,5.39,0,1,1,0,0,0,1
54,42,11,0.27,5.03,0,0,0,1,0,0,2
54,42,11,0.0,5.39,0,0,0,0,1,0,3
54,42,11,0.73,5.02,0,0,0,0,0,1,4
55,42,36,0.0,5.39,0,0,1,0,0,0,1
55,42,36,0.27,5.03,0,0,0,1,0,0,2
55,42,36,0.0,3.78,0,0,0,0,1,0,3
55,42,36,0.73,3.88,0,0,0,0,0,1,4
56,42,42,0.0,6.56,0,0,1,0,0,0,1
56,42,42,0.27,4.22,0,1,0,1,0,0,2
