Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,TotalHouseholds,TotalOccasions,OverallAvgPrice,PctFeature,PctDisplay
32,21,30,0.0,4.98,1,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
32,21,30,1.0,4.89,0,1,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
32,21,30,0.0,6.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
32,21,30,0.0,6.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
33,21,32,0.0,5.38,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
33,21,32,1.0,4.98,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
33,21,32,0.0,5.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
33,21,32,0.0,6.55,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
34,21,41,0.0,6.55,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
34,21,41,1.0,3.81,1,1,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
34,21,41,0.0,5.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
34,21,41,0.0,4.67,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
35,21,41,0.0,6.55,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
35,21,41,1.0,3.81,1,1,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
35,21,41,0.0,5.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
35,21,41,0.0,4.67,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
36,21,42,0.0,6.55,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
36,21,42,1.0,3.81,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
36,21,42,0.0,5.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
36,21,42,0.0,6.55,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
37,21,47,0.0,6.97,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
37,21,47,1.0,3.88,1,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
37,21,47,0.0,7.0,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
